edge_id,p_resistance_baseline,p_resistance_under_knockout,p_resistance_under_amplify,delta,note
1N1A::55664::ppi,0.34375,0.3125,0.28125,-0.03125,
1N1A::1Y9R::ppi,0.34375,0.34375,0.3125,-0.03125,
1N1A::11146::ppi,0.34375,0.375,0.34375,-0.03125,
2B6H::23527::ppi,0.34375,0.40625,0.375,-0.03125,
2B6H::8729::ppi,0.34375,0.375,0.34375,-0.03125,
2B6H::3QWM::ppi,0.34375,0.375,0.34375,-0.03125,
2B6H::1OIV::ppi,0.34375,0.40625,0.375,-0.03125,
2B6H::1Z6X::ppi,0.34375,0.375,0.34375,-0.03125,
2B6H::8853::ppi,0.34375,0.375,0.34375,-0.03125,
1JUQ::1JPL::ppi,0.34375,0.375,0.34375,-0.03125,
1N1A::40 kDa peptidyl-prolyl cis-trans isomerase::ppi,0.34375,0.3125,0.28125,-0.03125,
1N1A::1A28::ppi,0.34375,0.375,0.34375,-0.03125,
1N1A::1H10::ppi,0.34375,0.34375,0.3125,-0.03125,
1N1A::1179::ppi,0.34375,0.4375,0.40625,-0.03125,
2B6H::1314::ppi,0.34375,0.375,0.34375,-0.03125,
2B6H::4D0G::ppi,0.34375,0.375,0.34375,-0.03125,
1N1A::1147::ppi,0.34375,0.375,0.34375,-0.03125,
1080::2.7.11.1::ppi,0.34375,0.375,0.34375,-0.03125,
1080::2M3O::ppi,0.34375,0.375,0.34375,-0.03125,
1080::2.3.2.27::ppi,0.34375,0.34375,0.3125,-0.03125,
2519::2517::ppi,0.34375,0.34375,0.3125,-0.03125,
1ZRH::2.8.2.2::ppi,0.34375,0.375,0.34375,-0.03125,
2.1.1.320::E9PJQ6::ppi,0.34375,0.375,0.34375,-0.03125,
1ZRH::2-O-sulfotransferase::ppi,0.34375,0.40625,0.375,-0.03125,
2.1.1.320::4698::ppi,0.34375,0.40625,0.375,-0.03125,
6405::4E74::ppi,0.34375,0.375,0.34375,-0.03125,
6405::23129::ppi,0.34375,0.34375,0.3125,-0.03125,
1080::5'-AMP-activated protein kinase subunit gamma-2::ppi,0.34375,0.40625,0.375,-0.03125,
1080::2H2B::ppi,0.34375,0.375,0.34375,-0.03125,
1080::55107::ppi,0.34375,0.375,0.34375,-0.03125,
1080::2.7.11.1::ppi,0.34375,0.375,0.34375,-0.03125,
1080::1BYQ::ppi,0.34375,0.3125,0.28125,-0.03125,
1080::2984::ppi,0.34375,0.375,0.34375,-0.03125,
2.1.1.320::137682::ppi,0.34375,0.40625,0.34375,-0.0625,
1.14.13.-::1.14.14.1::ppi,0.34375,0.375,0.3125,-0.0625,
1080::1NI2::ppi,0.34375,0.40625,0.34375,-0.0625,
1080::1811::ppi,0.34375,0.375,0.3125,-0.0625,
1080::2.7.11.11::ppi,0.34375,0.375,0.3125,-0.0625,
1080::10598::ppi,0.34375,0.46875,0.40625,-0.0625,
1N1A::1HJO::ppi,0.34375,0.375,0.3125,-0.0625,
1N1A::A8K5I0::ppi,0.34375,0.375,0.3125,-0.0625,
1JUQ::B0QYS5::ppi,0.34375,0.34375,0.28125,-0.0625,
2B6H::1029::ppi,0.34375,0.375,0.3125,-0.0625,
1N1A::3312::ppi,0.34375,0.375,0.3125,-0.0625,
2B6H::116987::ppi,0.34375,0.375,0.3125,-0.0625,
1N1A::10728::ppi,0.34375,0.375,0.3125,-0.0625,
