drug_name,spearman_scratch,p_scratch,mse_scratch,n_scratch,spearman_init_a,p_init_a,mse_init_a,n_init_a,delta_init_a_minus_scratch,drug_family
Nilotinib,-0.0898105895911263,0.1187561142036107,54920.33203125,303,-0.0452085391942885,0.4329880943824878,54798.859375,303,0.044602050396837796,
Trametinib (GSK1120212),-0.2082603223167616,0.0002879455724842,22561.259765625,299,-0.0371564925913107,0.5221559087173447,22490.173828125,299,0.17110382972545088,
Ruxolitinib (INCB018424),-0.0460509108255979,0.4291191104689051,55515.34375,297,-0.0335120000371923,0.5651144313674575,55392.99609375,297,0.012538910788405605,
Bortezomib (Velcade),-0.0749209059604491,0.2002096899988245,28695.2578125,294,-0.0644891134143789,0.2703768793298257,28611.39453125,294,0.010431792546070198,proteasome_inhibitor
A-674563,0.0370763822422243,0.5272888860600546,24422.955078125,293,0.1127284402543714,0.0539173577869722,24344.900390625,293,0.0756520580121471,
YM-155,0.0901266295767836,0.1237410833118203,60412.39453125,293,0.146829617232612,0.011861885038494,60284.7109375,293,0.0567029876558284,
LY-333531,0.0840756278718521,0.1511349935951751,45440.75390625,293,0.1313915206072864,0.0244993771455402,45330.36328125,293,0.047315892735434295,
INK-128,-0.0414263592644321,0.4807104476392097,19227.96484375,292,0.1181882494734636,0.0435894737025352,19160.43359375,292,0.15961460873789568,
SNS-032 (BMS-387032),-0.0234365463743216,0.6900251895514816,12654.9267578125,292,0.021359667387787,0.7162537684633025,12599.650390625,292,0.0447962137621086,
JNJ-7706621,0.103672044073313,0.0769408047865602,55650.5078125,292,0.1232628899715759,0.0352636752553677,55527.75,292,0.019590845898262904,
PD173955,-0.0043062171565828,0.9415917530929774,41946.671875,292,0.0033624576027286,0.9543767890205956,41843.421875,292,0.0076686747593114,
Roscovitine (CYC-202),0.0806136680412765,0.1694866176130415,65643.96875,292,0.0948911811904479,0.105619609100181,65510.890625,292,0.014277513149171403,
BMS-345541,-0.0323690912542207,0.5823585524467869,53273.4296875,291,0.0210787976198591,0.7202913014228874,53153.359375,291,0.05344788887407981,
SB-431542,0.0554056543234637,0.3462923153794405,58426.1875,291,0.1332944400122679,0.0229537491971515,58301.55859375,291,0.0778887856888042,
VX-745,-0.0495321006493632,0.3998806096816043,38858.02734375,291,0.055856263863761,0.3423781205911415,38757.53125,291,0.1053883645131242,
Tofacitinib (CP-690550),0.001802056916123,0.9755817608307256,47560.859375,291,-0.0286169574386556,0.6268486187302007,47448.40234375,291,-0.0304190143547786,
Ponatinib (AP24534),-0.018574443847333,0.7527825835079672,24084.416015625,290,0.1434818660786262,0.0144642683237333,24007.783203125,290,0.1620563099259592,
Alisertib (MLN8237),0.0138817082919881,0.813908113057025,54154.953125,290,0.0725111048705408,0.2182825718981103,54034.46875,290,0.0586293965785527,
CI-1040 (PD184352),-0.2376205739134949,4.355672667905354e-05,38433.40234375,290,-0.0102829774629899,0.8615816770577133,38333.65234375,290,0.227337596450505,
Afatinib (BIBW-2992),-0.0394127256873172,0.503791767988734,31574.009765625,290,-0.0172983701931354,0.7692696875050568,31483.05078125,290,0.0221143554941818,
STO609,-0.0539763187432753,0.3597290205506256,65631.9921875,290,0.1409660878269492,0.0162965584341403,65498.30859375,290,0.1949424065702245,
Bosutinib (SKI-606),-0.0910021497080148,0.1227007334769152,42755.23828125,289,0.1561296567526555,0.0078366676766472,42649.4609375,289,0.2471318064606703,
Tozasertib (VX-680),0.0527758398961536,0.3713625021895434,46982.171875,289,0.0955434571991753,0.1050370264583486,46870.41015625,289,0.0427676173030217,
PHA-665752,0.0844279100661041,0.1522550750813305,48214.03515625,289,0.1166997960779409,0.0474707464613348,48100.7890625,289,0.032271886011836795,
PP242,-0.0203193065852323,0.7308713441058755,22180.259765625,289,0.1467805140636882,0.0124896715732834,22106.462890625,289,0.16709982064892048,
PI-103,0.0558043895738439,0.3445057403960838,21158.0078125,289,0.1523533814535773,0.0094882321714267,21086.025390625,289,0.0965489918797334,
Linifanib (ABT-869),-0.0326137343164024,0.5814876376465044,42434.49609375,288,0.0312642859994304,0.5972257095474993,42330.04296875,288,0.06387802031583281,
Vatalanib (PTK787),-0.0080554919938706,0.891731231860741,49097.26953125,288,0.1262446296767591,0.0322175547720053,48983.171875,288,0.13430012167062969,
Motesanib (AMG-706),-0.1480590964666295,0.0118830495090522,54403.953125,288,-0.0080739216408709,0.8914850537912234,54284.296875,288,0.1399851748257586,
Neratinib (HKI-272),-0.0308955109164338,0.6015598715475365,28925.107421875,288,-0.0108809937773718,0.8541240973712905,28839.333984375,288,0.020014517139062,
Flavopiridol,-0.0829981898926635,0.1600732376436952,21341.115234375,288,-0.0652859872616623,0.2694629992333032,21270.888671875,288,0.017712202631001192,
Canertinib (CI-1033),0.0872350114550239,0.1397277598641138,49007.20703125,288,0.1829619511846924,0.0018219200049613,48893.02734375,288,0.09572693972966852,
Dovitinib (CHIR-258),-0.0015427288416716,0.9792037932311404,26814.78125,288,0.2370882390328303,4.8214631786464287e-05,26732.953125,288,0.2386309678745019,
JAK Inhibitor I,-0.0644791250001644,0.2754385953644802,31724.615234375,288,0.0269495456771993,0.6487907866358349,31634.513671875,288,0.0914286706773637,
Barasertib (AZD1152-HQPA),0.1497559502244125,0.0109353980755701,48496.48046875,288,0.202996870207411,0.0005279755487599,48383.44140625,288,0.053240919982998514,
Pelitinib (EKB-569),0.0208595050090553,0.7249293825658304,27670.60546875,287,0.175008109289926,0.00293104553915,27586.345703125,287,0.15414860428087068,
Vargetef,0.0593174480700421,0.3166345355227688,36711.3984375,287,0.0645577051496283,0.2756949249247916,36614.53125,287,0.005240257079586204,
Selumetinib (AZD6244),-0.2575441375977503,9.925094674524402e-06,43581.1171875,287,-0.0710221093674251,0.2303510142775155,43476.82421875,287,0.1865220282303252,
JNJ-38877605,-0.0413652281672965,0.4851697182581834,57213.15625,287,0.1136392334423695,0.054479713445264,57088.83203125,287,0.155004461609666,
Cediranib (AZD2171),-0.1164342300927516,0.0487673561154653,62378.2578125,287,0.0070626723605681,0.9051734921371428,62248.73046875,287,0.12349690245331969,
Doramapimod (BIRB 796),-0.0763580621912988,0.1971110623732553,32438.265625,287,0.0076014185558248,0.8979779989192515,32348.396484375,287,0.0839594807471236,
MLN8054,0.0462670942318295,0.4349131708682405,62863.953125,287,-0.0574996250014757,0.3317188220311546,62733.4921875,287,-0.1037667192333052,
CHIR-99021,0.0428969715591818,0.4691378441108055,71152.4609375,287,0.1222950517775701,0.0384012436719559,71013.59375,287,0.07939808021838829,
CYT387,0.015413733448944,0.7948629550426755,33697.578125,287,0.0816574023183903,0.1677000134481214,33604.23046875,287,0.0662436688694463,
Foretinib (XL880),0.0014834993400058,0.9800721994290376,19620.052734375,286,0.1748035656353654,0.0030158234650085,19551.826171875,286,0.1733200662953596,
BEZ235,-0.0174957487900494,0.7682943263869039,26871.66015625,286,0.1470225461898792,0.0128092821373822,26789.90234375,286,0.1645182949799286,
KU-55933,0.0706527266703676,0.2336134247744572,57104.10546875,286,0.0553855435271166,0.3506810617496343,56980.69140625,286,-0.015267183143250991,
NVP-TAE684,0.1166136108930653,0.0488148644846426,40034.44921875,286,0.1140209496061344,0.0540905834996952,39932.4609375,286,-0.002592661286930892,
Vismodegib (GDC-0449),-0.0538832787515261,0.3639215847758378,74910.953125,286,0.0276637299653183,0.641303947399651,74768.296875,286,0.0815470087168444,
AZD1480,-0.0940528882426468,0.1131183627482256,51087.95703125,285,0.0008099813548791,0.9891379623048376,50971.29296875,285,0.0948628695975259,
Regorafenib (BAY 73-4506),-0.0045693073387345,0.938782512299421,37080.80859375,285,0.2015976129380045,0.0006179308899969,36981.67578125,285,0.206166920276739,
GSK-1838705A,0.1566889028334771,0.0080497526136579,46583.3984375,285,0.0679583906744812,0.252810264139303,46472.2109375,285,-0.08873051215899591,
GDC-0879,0.0092064170041134,0.8770243781142409,73266.171875,285,0.1002261134897726,0.0912519467888917,73125.0859375,285,0.0910196964856592,
PHT-427,-0.1032282700745928,0.0819142893289977,70270.2578125,285,0.0066018820244966,0.9116449032630032,70132.34375,285,0.1098301520990894,
KW-2449,0.0993088318481216,0.0942688954643768,44214.0546875,285,0.1687062268705353,0.0042891841557272,44107.40625,285,0.0693973950224137,
XAV-939,-0.0775396030898389,0.1926020882592093,61136.66796875,284,0.1226183563762009,0.0389148055184917,61008.94921875,284,0.20015795946603981,
Tivozanib (AV-951),-0.0047275199524319,0.9367791687103942,31771.39453125,284,0.1662602641843408,0.0049682103744232,31683.552734375,284,0.1709877841367727,
