feature_gene,uniprot_id,tier,source,has_esm2_embedding
TFAP4,Q01664,1,HGNC_symbol,False
TFB1M,Q8WVM0,1,HGNC_symbol,False
TFB2M,Q9H5Q4,1,HGNC_symbol,False
TFCP2,Q12800,1,HGNC_symbol,True
TFCP2L1,Q9NZI6,1,HGNC_symbol,False
TFDP1,Q14186,1,HGNC_symbol,False
TFDP2,Q14188,1,HGNC_symbol,False
TFDP3,Q5H9I0,1,HGNC_symbol,False
TFE3,P19532,1,HGNC_symbol,False
TFEB,P19484,1,HGNC_symbol,False
TFEC,O14948,1,HGNC_symbol,True
TFF1,P04155,1,HGNC_symbol,True
TFF2,Q03403,1,HGNC_symbol,True
TFF3,Q07654,1,HGNC_symbol,False
TFG,Q92734,1,HGNC_symbol,False
TFIP11,Q9UBB9,1,HGNC_symbol,False
TFP1,,0,unmapped,False
TFPI,P10646,1,HGNC_symbol,True
TFPI2,P48307,1,HGNC_symbol,False
TFPT,P0C1Z6,1,HGNC_symbol,False
TFR2,Q9UP52,1,HGNC_symbol,True
TFRC,P02786,1,HGNC_symbol,False
TG,P01266,1,HGNC_symbol,False
TGDS,O95455,1,HGNC_symbol,True
TGFA,P01135,1,HGNC_symbol,True
TGFB1,P01137,1,HGNC_symbol,False
TGFB1I1,O43294,1,HGNC_symbol,False
TGFB2,P61812,1,HGNC_symbol,True
TGFB3,P10600,1,HGNC_symbol,True
TGFBI,Q15582,1,HGNC_symbol,False
TGFBR1,P36897,1,HGNC_symbol,False
TGFBR2,P37173,1,HGNC_symbol,True
TGFBR3,Q03167,1,HGNC_symbol,True
TGFBR3L,H3BV60,1,HGNC_symbol,True
TGFBRAP1,Q8WUH2,1,HGNC_symbol,False
TGIF1,Q15583,1,HGNC_symbol,False
TGIF2,Q9GZN2,1,HGNC_symbol,True
TGIF2LX,Q8IUE1,1,HGNC_symbol,False
TGIF2LY,Q8IUE0,1,HGNC_symbol,False
TGIF2P1,,0,unmapped,False
TGM1,P22735,1,HGNC_symbol,False
TGM2,P21980,1,HGNC_symbol,True
TGM3,Q08188,1,HGNC_symbol,False
TGM4,P49221,1,HGNC_symbol,False
TGM5,O43548,1,HGNC_symbol,True
TGM6,O95932,1,HGNC_symbol,False
TGM7,Q96PF1,1,HGNC_symbol,False
TGOLN2,O43493,1,HGNC_symbol,True
TGS1,Q96RS0,1,HGNC_symbol,False
TH,P07101,1,HGNC_symbol,False
THA1P,,0,unmapped,False
THADA,Q6YHU6,1,HGNC_symbol,False
THAP1,Q9NVV9,1,HGNC_symbol,False
THAP10,Q9P2Z0,1,HGNC_symbol,False
THAP11,Q96EK4,1,HGNC_symbol,True
THAP12,O43422,1,HGNC_symbol,True
THAP2,Q9H0W7,1,HGNC_symbol,True
THAP3,Q8WTV1,1,HGNC_symbol,True
THAP4,Q8WY91,1,HGNC_symbol,False
THAP5,Q7Z6K1,1,HGNC_symbol,False
THAP5P1,,0,unmapped,False
THAP6,Q8TBB0,1,HGNC_symbol,False
THAP7,Q9BT49,1,HGNC_symbol,False
THAP7-AS1,,0,unmapped,False
THAP8,Q8NA92,1,HGNC_symbol,False
THAP9,Q9H5L6,1,HGNC_symbol,False
THAP9-AS1,,0,unmapped,False
THBD,P07204,1,HGNC_symbol,True
THBS1,P07996,1,HGNC_symbol,False
THBS2,P35442,1,HGNC_symbol,False
THBS3,P49746,1,HGNC_symbol,False
