edge_id,source_raw,target_raw,edge_type,source_hgnc,target_hgnc,source_uniprot,target_uniprot,delta,abs_delta,is_top_decile,depmap_target_gene_effect_median,target_frac_essential,target_is_common_essential,drug_target_support,refusal_reason
2B6H::92344::ppi,2B6H,92344,ppi,ARF5,GORAB,P26437,Q49A22,0.03125,0.03125,False,0.1049738389739295,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::3JUE::ppi,2B6H,3JUE,ppi,ARF5,ACAP1,P26437,Q15027,0.03125,0.03125,False,0.0273654432348928,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1381::ppi,1.14.13.-,1381,ppi,CYP26B1,CRABP1,B2R8M7,P29762,0.03125,0.03125,False,-0.0031961406510418,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1.2.1.-::ppi,1.14.13.-,1.2.1.-,ppi,CYP26B1,ALDH1A1,B2R8M7,O00768,0.03125,0.03125,False,0.0813307427296685,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
"1.14.13.-::1,4-cineole 2-exo-monooxygenase::ppi",1.14.13.-,"1,4-cineole 2-exo-monooxygenase",ppi,CYP26B1,CYP2A6,B2R8M7,A7YAE5,0.03125,0.03125,False,0.068903310226219,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2.1.1.320::1.6.99.3::ppi,2.1.1.320,1.6.99.3,ppi,NDUFAF7,NDUFS7,Q7L592,B3KRI2,0.03125,0.03125,False,-0.2789829149445919,0.1525114155251141,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::2DC2::ppi,1080,2DC2,ppi,CFTR,GOPC,P13569,A6NM30,0.03125,0.03125,False,0.0867707525078656,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::821::ppi,1080,821,ppi,CFTR,CANX,P13569,B2R5V8,0.03125,0.03125,False,0.0208666004775367,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2.1.1.320::51295::ppi,2.1.1.320,51295,ppi,NDUFAF7,ECSIT,Q7L592,E9PAN9,0.03125,0.03125,False,-0.2269019309908438,0.0712328767123287,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2.1.1.320::51103::ppi,2.1.1.320,51103,ppi,NDUFAF7,NDUFAF1,Q7L592,Q9BVZ5,0.03125,0.03125,False,-0.506337929423714,0.5159817351598174,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2.1.1.320::80224::ppi,2.1.1.320,80224,ppi,NDUFAF7,NUBPL,Q7L592,B4DHZ1,0.03125,0.03125,False,-0.1791142475027625,0.0602739726027397,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1JUQ::10226::ppi,1JUQ,10226,ppi,M6PR,PLIN3,A8K528,A8K4Y9,0.03125,0.03125,False,-0.0176725415248891,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::1QZ2::ppi,1N1A,1QZ2,ppi,FKBP4,FKBP4,D3DUQ1,D3DUQ1,0.03125,0.03125,False,-0.0215469238204344,0.0073059360730593,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
