drug_name,spearman_scratch,p_scratch,mse_scratch,n_scratch,spearman_init_a,p_init_a,mse_init_a,n_init_a,delta_init_a_minus_scratch,drug_family
KU-55933,-0.0490621164564521,0.4084752202511832,57351.078125,286,0.1109986819564453,0.0608292952780431,57137.03125,286,0.1600607984128974,
NVP-TAE684,0.0180500114199304,0.7611726004469531,40238.6171875,286,0.0785434306581205,0.1853304665708891,40061.6640625,286,0.0604934192381901,
Vismodegib (GDC-0449),0.0188638048228997,0.7507526861594676,75196.3671875,286,-0.0429063344904233,0.4698229840609036,74949.0078125,286,-0.061770139313322994,
AZD1480,0.1352313379424146,0.022404854142849,51321.453125,285,-0.031434221849221,0.5971737547071688,51119.0859375,285,-0.1666655597916356,
Regorafenib (BAY 73-4506),0.0916490966695224,0.1226693837327035,37279.26953125,285,0.0303431422989995,0.609969203556593,37107.26171875,285,-0.0613059543705229,
GSK-1838705A,-0.0488539215001779,0.411295936563968,46805.94921875,285,0.123915132515563,0.0365460716012769,46613.06640625,285,0.1727690540157409,
GDC-0879,-0.012677226205918,0.8312612832648218,73548.4375,285,0.131752734529188,0.0261369164962215,73303.8046875,285,0.144429960735106,
PHT-427,0.0782305367354531,0.1878727075259733,70546.203125,285,-0.0203636824180425,0.7321227473401017,70307.0546875,285,-0.0985942191534956,
KW-2449,0.0410535050643361,0.4900004445604055,44427.53125,285,0.0793411902919515,0.181662608427274,44242.51171875,285,0.038287685227615394,
XAV-939,-0.1025517439002681,0.0844983264473556,61392.25390625,284,0.0505440100516737,0.3961213524127546,61170.74609375,284,0.1530957539519418,
Tivozanib (AV-951),0.0153950648200995,0.7961651045549163,31947.2890625,284,0.0377012085580507,0.5268806193170326,31794.833984375,284,0.0223061437379512,
SGX-523,0.0472777334029613,0.4273884153756773,63084.18359375,284,0.0269268737030027,0.6513695823543859,62858.578125,284,-0.020350859699958597,
Saracatinib (AZD0530),0.0245783583824435,0.6800188558663297,48142.89453125,284,0.043207038857523,0.4682892332474356,47947.046875,284,0.0186286804750795,
PRT062607,0.0869362954200586,0.1439103159021075,39994.54296875,284,-0.0793709875691205,0.1822728285759189,39817.08984375,284,-0.1663072829891791,
MK-2206,0.0595864976285438,0.3170056494940065,45882.68359375,284,0.0079799725353062,0.8934896277982365,45694.54296875,284,-0.0516065250932376,
MLN120B,0.0925359282712023,0.1197305419045023,54729.4921875,284,0.0481719135617971,0.4186895872569278,54520.46484375,284,-0.0443640147094052,
RAF265 (CHIR-265),0.019335880175065,0.7455994511334192,29966.59765625,284,0.0671451962677937,0.2593901675319872,29814.513671875,284,0.04780931609272869,
17-AAG (Tanespimycin),0.1139192379015532,0.0551641510387867,26603.2578125,284,-0.1075848155431384,0.0702472535471508,26461.521484375,284,-0.2215040534446916,
Crenolanib,0.1409668909265206,0.0174531181157895,49902.73046875,284,0.1556133220594566,0.0086167190556127,49704.53125,284,0.01464643113293601,
KI20227,0.0643621219520815,0.279702784693103,39285.19140625,284,-0.0448529633361397,0.4514974420313423,39113.30859375,284,-0.10921508528822121,
GSK690693,-0.0024995542655772,0.966607936959266,55874.16796875,283,0.0922699218248733,0.1214645134318531,55662.6484375,283,0.0947694760904505,
NF-kB Activation Inhibitor,-0.005926724423258,0.920929830599176,45342.69921875,283,0.1625146080179259,0.006142846914009,45155.2265625,283,0.1684413324411839,
Cabozantinib,0.1468649697609545,0.0133931276179631,33654.51953125,283,0.0866879277487043,0.1457795353473619,33495.3828125,283,-0.0601770420122502,
GSK-1904529A,0.020915870465257,0.7260832367236565,57118.08984375,283,0.0388571590436496,0.5150262446335475,56903.6953125,283,0.0179412885783926,
Midostaurin,0.1142226034872167,0.0549459906835159,43014.92578125,283,0.1049657165714731,0.0779250927500441,42832.08203125,283,-0.009256886915743598,
Masitinib (AB-1010),0.0176563515655939,0.7678360499051056,41908.41796875,282,0.0165155147994965,0.7824485108880185,41727.21875,282,-0.0011408367660974,
TG100-115,0.0503805632175325,0.3993341197069361,58587.984375,282,-0.0086449668039942,0.8850807341096397,58370.3671875,282,-0.059025530021526704,
MGCD-265,0.1637754550854344,0.0059278949387057,44383.875,281,0.0864077110685995,0.1485410510689942,44197.76953125,281,-0.0773677440168349,
S31-201,-0.1126364759717174,0.0593326845541091,51382.0,281,0.090932076636199,0.128345997883788,51181.2265625,281,0.2035685526079164,
SU11274,-0.0348909106372443,0.5602646169929856,49762.66015625,281,-0.0109760754060642,0.8546584207280203,49562.96484375,281,0.023914835231180105,
Idelalisib,0.0605889652382592,0.3123801761073658,38268.34375,280,0.0217565817903395,0.7169996776006964,38096.09375,280,-0.0388323834479197,
AT7519,0.0257039565173609,0.6690269715956427,21148.412109375,279,-0.1668433226990161,0.0052071605370655,21021.61328125,279,-0.19254727921637702,
JNJ-28312141,0.0890147483497714,0.1380452429582102,24687.236328125,279,-0.0172421747977313,0.7743195080495734,24555.392578125,279,-0.1062569231475027,
Quizartinib (AC220),0.1492527393135334,0.0127277499369442,24872.966796875,278,0.093826602645198,0.1185713464549985,24737.076171875,278,-0.05542613666833539,
GW-2580,-0.0868323568419746,0.1494810171877081,47341.421875,277,0.0118260291208667,0.8446562227615456,47147.18359375,277,0.0986583859628413,
NVP-ADW742,0.0215632700298288,0.7208649828029084,48956.82421875,277,0.2110019250362352,0.0004065699029671,48759.17578125,277,0.1894386550064064,
