edge_id,p_resistance_baseline,p_resistance_under_knockout,p_resistance_under_amplify,delta,note,source_raw,target_raw,edge_type,source_hgnc,target_hgnc,depmap_target_gene_effect_median,target_frac_essential,target_is_common_essential,drug_target_target_support,drug_target_source_support,drug_target_either_endpoint,target_pathway_count,target_top_pathway
1080::14-3-3 protein gamma::ppi,0.34375,0.375,0.40625,0.03125,,1080,14-3-3 protein gamma,ppi,CFTR,YWHAG,,,False,False,True,True,61,AURKA Activation by TPX2
1080::14-3-3 protein zeta/delta::ppi,0.34375,0.34375,0.375,0.03125,,1080,14-3-3 protein zeta/delta,ppi,CFTR,YWHAZ,,,False,False,True,True,57,Activation of BAD and translocation to mitochondria 
1080::3BYH::ppi,0.34375,0.375,0.40625,0.03125,,1080,3BYH,ppi,CFTR,ACTB,,,False,False,True,True,108,ATP-dependent chromatin remodelers
1080::10134::ppi,0.34375,0.3125,0.34375,0.03125,,1080,10134,ppi,CFTR,BCAP31,,,False,False,True,True,18,Adaptive Immune System
1080::2V90::ppi,0.34375,0.3125,0.34375,0.03125,,1080,2V90,ppi,CFTR,PDZD3,,,False,False,True,True,5,Bacterial Infection Pathways
1080::1FXY::ppi,0.34375,0.3125,0.34375,0.03125,,1080,1FXY,ppi,CFTR,PRSS1,,,False,False,True,True,12,Activation of Matrix Metalloproteinases
1080::375611::ppi,0.34375,0.375,0.40625,0.03125,,1080,375611,ppi,CFTR,SLC26A5,,,False,False,True,True,3,Sensory Perception
1080::3856::ppi,0.34375,0.34375,0.375,0.03125,,1080,3856,ppi,CFTR,KRT8,,,False,False,True,True,8,Developmental Biology
1.14.13.-::1.14.14.1::ppi,0.34375,0.34375,0.34375,0.0,,1.14.13.-,1.14.14.1,ppi,CYP26B1,CYP4F3,,,False,False,False,False,11,Arachidonate metabolism
1.14.13.-::1.14.14.80::ppi,0.34375,0.34375,0.34375,0.0,,1.14.13.-,1.14.14.80,ppi,CYP26B1,CYP4A11,,,False,False,False,False,14,Arachidonate metabolism
2B6H::3DWD::ppi,0.34375,0.375,0.375,0.0,,2B6H,3DWD,ppi,ARF5,ARFGAP1,,,False,False,False,False,17,Asparagine N-linked glycosylation
1080::3758::ppi,0.34375,0.375,0.375,0.0,,1080,3758,ppi,CFTR,KCNJ1,,,False,False,True,True,4,Inwardly rectifying K+ channels
1080::2.7.11.11::ppi,0.34375,0.34375,0.34375,0.0,,1080,2.7.11.11,ppi,CFTR,PRKX,,,False,False,True,True,27,ADORA2B mediated anti-inflammatory cytokines production
1080::1601::ppi,0.34375,0.34375,0.34375,0.0,,1080,1601,ppi,CFTR,DAB2,,,False,False,True,True,8,Cargo recognition for clathrin-mediated endocytosis
1080::6340::ppi,0.34375,0.34375,0.34375,0.0,,1080,6340,ppi,CFTR,SCNN1G,,,False,False,True,True,6,Ion channel transport
1080::2LO1::ppi,0.34375,0.40625,0.40625,0.0,,1080,2LO1,ppi,CFTR,DNAJA1,,,False,False,True,True,4,Cellular responses to stimuli
1080::2UV4::ppi,0.34375,0.375,0.375,0.0,,1080,2UV4,ppi,CFTR,PRKAG1,,,False,False,True,True,33,AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
1080::1HDJ::ppi,0.34375,0.34375,0.34375,0.0,,1080,1HDJ,ppi,CFTR,DNAJB1,,,False,False,True,True,10,Attenuation phase
1N1A::158::ppi,0.34375,0.375,0.375,0.0,,1N1A,158,ppi,FKBP4,ADSL,,,False,False,False,False,4,Metabolism
1N1A::1.14.11.18::ppi,0.34375,0.40625,0.40625,0.0,,1N1A,1.14.11.18,ppi,FKBP4,PHYH,,,False,False,False,False,8,Alpha-oxidation of phytanate
1N1A::11140::ppi,0.34375,0.34375,0.34375,0.0,,1N1A,11140,ppi,FKBP4,CDC37,,,False,False,False,False,36,Constitutive Signaling by EGFRvIII
1N1A::3308::ppi,0.34375,0.34375,0.34375,0.0,,1N1A,3308,ppi,FKBP4,HSPA4,,,False,False,False,False,4,Cellular response to heat stress
2B6H::11316::ppi,0.34375,0.375,0.375,0.0,,2B6H,11316,ppi,ARF5,COPE,,,False,False,False,False,11,Asparagine N-linked glycosylation
1JUQ::1E6F::ppi,0.34375,0.3125,0.3125,0.0,,1JUQ,1E6F,ppi,M6PR,IGF2R,,,False,False,False,False,11,Cargo recognition for clathrin-mediated endocytosis
1N1A::10598::ppi,0.34375,0.40625,0.40625,0.0,,1N1A,10598,ppi,FKBP4,AHSA1,,,False,False,False,False,0,
1080::3312::ppi,0.34375,0.40625,0.40625,0.0,,1080,3312,ppi,CFTR,HSPA8,,,False,True,True,True,55,AUF1 (hnRNP D0) binds and destabilizes mRNA
1080::4CFE::ppi,0.34375,0.375,0.375,0.0,,1080,4CFE,ppi,CFTR,PRKAG1,,,False,False,True,True,33,AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
1080::2.3.2.27::ppi,0.34375,0.375,0.375,0.0,,1080,2.3.2.27,ppi,CFTR,UBR7,,,False,False,True,True,0,
6405::1KEX::ppi,0.34375,0.40625,0.40625,0.0,,6405,1KEX,ppi,SEMA3F,NRP1,,,False,True,False,True,22,Attachment and Entry
2.1.1.320::509::ppi,0.34375,0.34375,0.34375,0.0,,2.1.1.320,509,ppi,NDUFAF7,ATP5F1C,,,False,False,False,False,8,Aerobic respiration and respiratory electron transport
1.14.13.-::1.2.1.36::ppi,0.34375,0.375,0.375,0.0,,1.14.13.-,1.2.1.36,ppi,CYP26B1,ALDH1A2,,,False,False,False,False,4,RA biosynthesis pathway
6405::1UEN::ppi,0.34375,0.34375,0.34375,0.0,,6405,1UEN,ppi,SEMA3F,NRCAM,,,False,False,False,False,7,Axon guidance
1ZRH::10090::ppi,0.34375,0.34375,0.34375,0.0,,1ZRH,10090,ppi,HS3ST1,UST,,,False,False,False,False,6,CS-GAG biosynthesis
1.14.13.-::2.4.1.17::ppi,0.34375,0.375,0.375,0.0,,1.14.13.-,2.4.1.17,ppi,CYP26B1,UGT2A3,,,False,False,False,False,6,Aspirin ADME
1.14.13.-::339345::ppi,0.34375,0.34375,0.34375,0.0,,1.14.13.-,339345,ppi,CYP26B1,NANOS2,,,False,False,False,False,0,
2.1.1.320::1.6.99.3::ppi,0.34375,0.375,0.375,0.0,,2.1.1.320,1.6.99.3,ppi,NDUFAF7,NDUFS7,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
2.1.1.320::51300::ppi,0.34375,0.34375,0.34375,0.0,,2.1.1.320,51300,ppi,NDUFAF7,TIMMDC1,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
2.1.1.320::1.6.99.3::ppi,0.34375,0.34375,0.34375,0.0,,2.1.1.320,1.6.99.3,ppi,NDUFAF7,NDUFS7,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
1.14.13.-::1.17.3.-::ppi,0.34375,0.34375,0.34375,0.0,,1.14.13.-,1.17.3.-,ppi,CYP26B1,AOX1,,,False,False,False,False,4,Metabolism
1.14.13.-::346673::ppi,0.34375,0.34375,0.34375,0.0,,1.14.13.-,346673,ppi,CYP26B1,STRA8,,,False,False,False,False,0,
1.14.13.-::1.14.-.-::ppi,0.34375,0.40625,0.40625,0.0,,1.14.13.-,1.14.-.-,ppi,CYP26B1,CYP20A1,,,False,False,False,False,0,
1.14.13.-::1.14.14.1::ppi,0.34375,0.375,0.375,0.0,,1.14.13.-,1.14.14.1,ppi,CYP26B1,CYP4F3,,,False,False,False,False,11,Arachidonate metabolism
1.14.13.-::1.14.14.-::ppi,0.34375,0.375,0.375,0.0,,1.14.13.-,1.14.14.-,ppi,CYP26B1,CYP2C9,,,False,False,False,False,17,Arachidonate metabolism
2B6H::1315::ppi,0.34375,0.40625,0.40625,0.0,,2B6H,1315,ppi,ARF5,COPB1,,,False,False,False,False,14,Asparagine N-linked glycosylation
1N1A::10963::ppi,0.34375,0.34375,0.34375,0.0,,1N1A,10963,ppi,FKBP4,STIP1,,,False,False,False,False,8,Cellular responses to stimuli
2B6H::22818::ppi,0.34375,0.28125,0.28125,0.0,,2B6H,22818,ppi,ARF5,COPZ1,,,False,False,False,False,11,Asparagine N-linked glycosylation
1JUQ::143187::ppi,0.34375,0.375,0.375,0.0,,1JUQ,143187,ppi,M6PR,VTI1A,,,False,False,False,False,5,Intra-Golgi and retrograde Golgi-to-ER traffic
1JUQ::1MHQ::ppi,0.34375,0.3125,0.3125,0.0,,1JUQ,1MHQ,ppi,M6PR,GGA2,,,False,False,False,False,6,Amyloid fiber formation
2B6H::26286::ppi,0.34375,0.3125,0.3125,0.0,,2B6H,26286,ppi,ARF5,ARFGAP3,,,False,False,False,False,17,Asparagine N-linked glycosylation
2B6H::377::ppi,0.34375,0.375,0.34375,-0.03125,,2B6H,377,ppi,ARF5,ARF3,,,False,False,False,False,16,Asparagine N-linked glycosylation
1080::359845::ppi,0.34375,0.34375,0.3125,-0.03125,,1080,359845,ppi,CFTR,RFLNB,,,False,False,True,True,0,
1080::3.4.21.4::ppi,0.34375,0.4375,0.40625,-0.03125,,1080,3.4.21.4,ppi,CFTR,PRSS1,,,False,False,True,True,12,Activation of Matrix Metalloproteinases
1080::6338::ppi,0.34375,0.375,0.34375,-0.03125,,1080,6338,ppi,CFTR,SCNN1B,,,False,False,True,True,6,Ion channel transport
1080::3875::ppi,0.34375,0.34375,0.3125,-0.03125,,1080,3875,ppi,CFTR,KRT18,,,False,False,True,True,8,Developmental Biology
1080::NP_075062.2::ppi,0.34375,0.375,0.34375,-0.03125,,1080,NP_075062.2,ppi,CFTR,SLC26A6,,,False,False,True,True,4,Inorganic anion exchange by SLC26 transporters
1080::10013::ppi,0.34375,0.375,0.34375,-0.03125,,1080,10013,ppi,CFTR,HDAC6,,,False,True,True,True,35,Aggrephagy
1080::11330::ppi,0.34375,0.375,0.34375,-0.03125,,1080,11330,ppi,CFTR,CTRC,,,False,False,True,True,4,Developmental Biology
1080::22802::ppi,0.34375,0.3125,0.28125,-0.03125,,1080,22802,ppi,CFTR,CLCA4,,,False,False,True,True,3,Ion channel transport
1N1A::55664::ppi,0.34375,0.3125,0.28125,-0.03125,,1N1A,55664,ppi,FKBP4,CDC37L1,,,False,False,False,False,4,Hemostasis
1N1A::1Y9R::ppi,0.34375,0.34375,0.3125,-0.03125,,1N1A,1Y9R,ppi,FKBP4,NR3C2,,,False,True,False,True,12,Cellular responses to stimuli
1N1A::11146::ppi,0.34375,0.375,0.34375,-0.03125,,1N1A,11146,ppi,FKBP4,GLMN,,,False,False,False,False,4,Adaptive Immune System
2B6H::23527::ppi,0.34375,0.40625,0.375,-0.03125,,2B6H,23527,ppi,ARF5,ACAP2,,,False,False,False,False,0,
2B6H::8729::ppi,0.34375,0.375,0.34375,-0.03125,,2B6H,8729,ppi,ARF5,GBF1,,,False,False,False,False,23,Asparagine N-linked glycosylation
2B6H::3QWM::ppi,0.34375,0.375,0.34375,-0.03125,,2B6H,3QWM,ppi,ARF5,IQSEC1,,,False,False,False,False,0,
2B6H::1OIV::ppi,0.34375,0.40625,0.375,-0.03125,,2B6H,1OIV,ppi,ARF5,RAB11A,,,False,False,False,False,17,Anchoring of the basal body to the plasma membrane
2B6H::1Z6X::ppi,0.34375,0.375,0.34375,-0.03125,,2B6H,1Z6X,ppi,ARF5,ARF4,,,False,False,False,False,16,Asparagine N-linked glycosylation
2B6H::8853::ppi,0.34375,0.375,0.34375,-0.03125,,2B6H,8853,ppi,ARF5,ASAP2,,,False,False,False,False,0,
1JUQ::1JPL::ppi,0.34375,0.375,0.34375,-0.03125,,1JUQ,1JPL,ppi,M6PR,IGF2R,,,False,False,False,False,11,Cargo recognition for clathrin-mediated endocytosis
1N1A::40 kDa peptidyl-prolyl cis-trans isomerase::ppi,0.34375,0.3125,0.28125,-0.03125,,1N1A,40 kDa peptidyl-prolyl cis-trans isomerase,ppi,FKBP4,PPID,,,False,False,False,False,3,ESR-mediated signaling
1N1A::1A28::ppi,0.34375,0.375,0.34375,-0.03125,,1N1A,1A28,ppi,FKBP4,PGR,,,False,True,False,True,25,Cellular responses to stimuli
1N1A::1H10::ppi,0.34375,0.34375,0.3125,-0.03125,,1N1A,1H10,ppi,FKBP4,AKT1,,,False,True,False,True,113,AKT phosphorylates targets in the cytosol
1N1A::1179::ppi,0.34375,0.4375,0.40625,-0.03125,,1N1A,1179,ppi,FKBP4,CLCA1,,,False,False,False,False,3,Ion channel transport
2B6H::1314::ppi,0.34375,0.375,0.34375,-0.03125,,2B6H,1314,ppi,ARF5,COPA,,,False,False,False,False,11,Asparagine N-linked glycosylation
2B6H::4D0G::ppi,0.34375,0.375,0.34375,-0.03125,,2B6H,4D0G,ppi,ARF5,RAB11FIP1,,,False,False,False,False,0,
1N1A::1147::ppi,0.34375,0.375,0.34375,-0.03125,,1N1A,1147,ppi,FKBP4,CHUK,,,False,False,False,False,87,AKT phosphorylates targets in the cytosol
1080::2.7.11.1::ppi,0.34375,0.375,0.34375,-0.03125,,1080,2.7.11.1,ppi,CFTR,MAP4K5,,,False,False,True,True,0,
1080::2M3O::ppi,0.34375,0.375,0.34375,-0.03125,,1080,2M3O,ppi,CFTR,SCNN1A,,,False,True,True,True,6,Ion channel transport
1080::2.3.2.27::ppi,0.34375,0.34375,0.3125,-0.03125,,1080,2.3.2.27,ppi,CFTR,UBR7,,,False,False,True,True,0,
2519::2517::ppi,0.34375,0.34375,0.3125,-0.03125,,2519,2517,ppi,FUCA2,FUCA1,,,False,False,False,False,9,Asparagine N-linked glycosylation
1ZRH::2.8.2.2::ppi,0.34375,0.375,0.34375,-0.03125,,1ZRH,2.8.2.2,ppi,HS3ST1,SULT2B1,,,False,False,False,False,4,Biological oxidations
2.1.1.320::E9PJQ6::ppi,0.34375,0.375,0.34375,-0.03125,,2.1.1.320,E9PJQ6,ppi,NDUFAF7,TMEM126B,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
1ZRH::2-O-sulfotransferase::ppi,0.34375,0.40625,0.375,-0.03125,,1ZRH,2-O-sulfotransferase,ppi,HS3ST1,HS2ST1,,,False,False,False,False,5,Glycosaminoglycan metabolism
2.1.1.320::4698::ppi,0.34375,0.40625,0.375,-0.03125,,2.1.1.320,4698,ppi,NDUFAF7,NDUFA5,,,False,False,False,False,9,Aerobic respiration and respiratory electron transport
6405::4E74::ppi,0.34375,0.375,0.34375,-0.03125,,6405,4E74,ppi,SEMA3F,PLXNA4,,,False,False,False,False,13,Axon guidance
6405::23129::ppi,0.34375,0.34375,0.3125,-0.03125,,6405,23129,ppi,SEMA3F,PLXND1,,,False,False,False,False,13,Axon guidance
1080::5'-AMP-activated protein kinase subunit gamma-2::ppi,0.34375,0.40625,0.375,-0.03125,,1080,5'-AMP-activated protein kinase subunit gamma-2,ppi,CFTR,PRKAG2,,,False,False,True,True,39,AMPK inhibits chREBP transcriptional activation activity
1080::2H2B::ppi,0.34375,0.375,0.34375,-0.03125,,1080,2H2B,ppi,CFTR,TJP1,,,False,False,True,True,25,Apoptosis
1080::55107::ppi,0.34375,0.375,0.34375,-0.03125,,1080,55107,ppi,CFTR,ANO1,,,False,True,True,True,10,Disease
1080::2.7.11.1::ppi,0.34375,0.375,0.34375,-0.03125,,1080,2.7.11.1,ppi,CFTR,MAP4K5,,,False,False,True,True,0,
1080::1BYQ::ppi,0.34375,0.3125,0.28125,-0.03125,,1080,1BYQ,ppi,CFTR,HSP90AA1,,,False,True,True,True,119,AURKA Activation by TPX2
1080::2984::ppi,0.34375,0.375,0.34375,-0.03125,,1080,2984,ppi,CFTR,GUCY2C,,,False,True,True,True,7,Bacterial Infection Pathways
2.1.1.320::137682::ppi,0.34375,0.40625,0.34375,-0.0625,,2.1.1.320,137682,ppi,NDUFAF7,NDUFAF6,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
1.14.13.-::1.14.14.1::ppi,0.34375,0.375,0.3125,-0.0625,,1.14.13.-,1.14.14.1,ppi,CYP26B1,CYP4F3,,,False,False,False,False,11,Arachidonate metabolism
1080::1NI2::ppi,0.34375,0.40625,0.34375,-0.0625,,1080,1NI2,ppi,CFTR,EZR,,,False,False,True,True,10,Axon guidance
1080::1811::ppi,0.34375,0.375,0.3125,-0.0625,,1080,1811,ppi,CFTR,SLC26A3,,,False,False,True,True,8,Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)
