cell_idx,predicted_mechanism,confidence,prob_drug_efflux,prob_clonal_evolution,prob_immune_escape,prob_microenvironmental
13777,immune_escape,0.27171487,0.24945134,0.23432209,0.27171487,0.24451174
13778,immune_escape,0.2671445,0.24901266,0.2388766,0.2671445,0.2449663
13779,immune_escape,0.2683749,0.2499061,0.2364492,0.2683749,0.24526985
13780,immune_escape,0.26824814,0.24964322,0.2368948,0.26824814,0.24521378
13781,immune_escape,0.27058503,0.24980004,0.2344424,0.27058503,0.24517258
13782,immune_escape,0.2707752,0.24902168,0.23549712,0.2707752,0.24470602
13783,immune_escape,0.27101603,0.24948236,0.23470217,0.27101603,0.24479942
13784,immune_escape,0.27166286,0.2491066,0.23455447,0.27166286,0.24467605
13785,immune_escape,0.26895142,0.25031424,0.23530798,0.26895142,0.24542634
13786,immune_escape,0.26629677,0.24909703,0.23955826,0.26629677,0.24504799
13787,immune_escape,0.2676111,0.24821675,0.23965743,0.2676111,0.2445147
13788,immune_escape,0.27157065,0.24914256,0.23460364,0.27157065,0.24468307
13789,immune_escape,0.26870885,0.24837798,0.23849261,0.26870885,0.24442053
13790,immune_escape,0.26935643,0.24976651,0.23562646,0.26935643,0.2452506
13791,immune_escape,0.269082,0.2496016,0.23623523,0.269082,0.24508119
13792,immune_escape,0.2680877,0.24946442,0.23723944,0.2680877,0.2452085
13793,immune_escape,0.26937696,0.24952976,0.23605046,0.26937696,0.24504279
13794,immune_escape,0.26797646,0.2497212,0.23688313,0.26797646,0.24541919
13795,immune_escape,0.26986396,0.24990213,0.23521675,0.26986396,0.24501717
13796,immune_escape,0.26823527,0.24910094,0.23755606,0.26823527,0.24510778
13797,immune_escape,0.26778188,0.2491468,0.23788227,0.26778188,0.24518906
13798,immune_escape,0.26892367,0.24962589,0.23633905,0.26892367,0.24511135
13799,immune_escape,0.26936054,0.25009885,0.23548448,0.26936054,0.24505618
13800,immune_escape,0.26901668,0.24958579,0.23629555,0.26901668,0.24510206
13801,immune_escape,0.26790717,0.24911891,0.23781656,0.26790717,0.24515724
13802,immune_escape,0.26791635,0.24936935,0.23775396,0.26791635,0.2449604
13803,immune_escape,0.26927203,0.24954318,0.2361124,0.26927203,0.24507244
13804,immune_escape,0.26742244,0.24821912,0.2396922,0.26742244,0.24466622
13805,immune_escape,0.26805913,0.2491293,0.23766184,0.26805913,0.24514969
13806,immune_escape,0.26999792,0.2499286,0.23505734,0.26999792,0.24501607
13807,immune_escape,0.26833576,0.24911939,0.23743565,0.26833576,0.24510926
13808,immune_escape,0.26837078,0.24908106,0.23747414,0.26837078,0.24507408
13809,immune_escape,0.26961905,0.24997792,0.2353592,0.26961905,0.24504383
13810,immune_escape,0.2677691,0.2501188,0.2368137,0.2677691,0.24529842
13811,immune_escape,0.2686191,0.24948646,0.23686098,0.2686191,0.24503341
13812,immune_escape,0.2677999,0.25022197,0.2366741,0.2677999,0.24530399
13813,immune_escape,0.26888165,0.24961704,0.23639575,0.26888165,0.24510561
13814,immune_escape,0.2675153,0.24931131,0.23816465,0.2675153,0.24500878
13815,immune_escape,0.26552773,0.25060603,0.23840874,0.26552773,0.24545747
13816,immune_escape,0.26882043,0.24932711,0.23686661,0.26882043,0.24498585
13817,immune_escape,0.26886007,0.2499353,0.23606318,0.26886007,0.2451414
13818,immune_escape,0.26847997,0.25008953,0.23615855,0.26847997,0.24527206
13819,immune_escape,0.26900527,0.24960051,0.23629737,0.26900527,0.24509689
13820,immune_escape,0.26892716,0.24960825,0.23635106,0.26892716,0.24511352
13821,immune_escape,0.2691897,0.24956883,0.23616137,0.2691897,0.24508008
13822,immune_escape,0.2697672,0.24992561,0.23526795,0.2697672,0.24503927
13823,immune_escape,0.27058744,0.24792343,0.23755562,0.27058744,0.24393345
13824,immune_escape,0.2689624,0.24956682,0.23635875,0.2689624,0.24511205
13825,immune_escape,0.2689943,0.2498321,0.23604931,0.2689943,0.24512435
13826,immune_escape,0.26904386,0.24957602,0.23628147,0.26904386,0.24509864
13827,immune_escape,0.26776373,0.24854484,0.23885803,0.26776373,0.24483338
13828,immune_escape,0.265739,0.2518311,0.23686302,0.265739,0.24556686
13829,immune_escape,0.26799446,0.2491333,0.23771858,0.26799446,0.24515365
13830,immune_escape,0.26757833,0.2487359,0.23877883,0.26757833,0.24490695
13831,immune_escape,0.2690604,0.24958394,0.23626396,0.2690604,0.2450917
13832,immune_escape,0.26902243,0.24759024,0.23950633,0.26902243,0.243881
13833,immune_escape,0.26921842,0.24956445,0.23615259,0.26921842,0.24506453
13834,immune_escape,0.269174,0.24848789,0.23749131,0.269174,0.24484678
13835,immune_escape,0.27095875,0.24901912,0.23532802,0.27095875,0.24469413
13836,immune_escape,0.26774216,0.2490915,0.23799062,0.26774216,0.24517567
13837,immune_escape,0.26765904,0.24960801,0.23755926,0.26765904,0.24517372
13838,immune_escape,0.26896843,0.24961144,0.2363192,0.26896843,0.24510089
13839,immune_escape,0.2690527,0.24959487,0.23626411,0.2690527,0.24508837
13840,immune_escape,0.26865026,0.2505411,0.23562202,0.26865026,0.24518664
13841,immune_escape,0.2678556,0.24909718,0.23789236,0.2678556,0.24515484
13842,immune_escape,0.26963085,0.25001553,0.23531075,0.26963085,0.24504288
13843,immune_escape,0.26913178,0.24957494,0.23621902,0.26913178,0.2450742
13844,immune_escape,0.26802096,0.2491105,0.23772036,0.26802096,0.2451482
13845,immune_escape,0.2697199,0.24994908,0.2352987,0.2697199,0.2450323
13846,immune_escape,0.2696509,0.24997249,0.23533483,0.2696509,0.24504182
13847,immune_escape,0.26992834,0.24819086,0.23738384,0.26992834,0.244497
13848,immune_escape,0.26907194,0.2495607,0.23626508,0.26907194,0.24510221
13849,immune_escape,0.26817572,0.24949056,0.2370296,0.26817572,0.24530417
13850,immune_escape,0.2665085,0.25149292,0.23662373,0.2665085,0.2453749
13851,immune_escape,0.2683989,0.25069025,0.23571354,0.2683989,0.24519737
13852,immune_escape,0.2689563,0.24986592,0.23604758,0.2689563,0.2451302
13853,immune_escape,0.26805568,0.24784262,0.23974796,0.26805568,0.2443538
13854,immune_escape,0.26963666,0.24999972,0.23532364,0.26963666,0.24504003
13855,immune_escape,0.26896873,0.24957693,0.2363496,0.26896873,0.24510477
13856,immune_escape,0.26607853,0.24927196,0.23916036,0.26607853,0.24548915
13857,immune_escape,0.2654228,0.24843872,0.24105567,0.2654228,0.24508277
13858,immune_escape,0.26989868,0.24915336,0.23603615,0.26989868,0.24491179
13859,immune_escape,0.26990998,0.24915269,0.23603122,0.26990998,0.24490602
13860,immune_escape,0.26683918,0.2503848,0.23710755,0.26683918,0.24566844
13861,immune_escape,0.26599967,0.2516385,0.23666404,0.26599967,0.24569787
13862,immune_escape,0.26767477,0.24876218,0.2384946,0.26767477,0.24506848
13863,immune_escape,0.27114362,0.24938904,0.23477721,0.27114362,0.24469015
13864,immune_escape,0.27186608,0.24921717,0.23423095,0.27186608,0.24468578
13865,immune_escape,0.26664886,0.24922605,0.23854607,0.26664886,0.24557908
13866,immune_escape,0.2698407,0.24916865,0.23607151,0.2698407,0.24491914
13867,immune_escape,0.2669527,0.25001013,0.23731385,0.2669527,0.2457233
13868,immune_escape,0.26659697,0.24882662,0.23916359,0.26659697,0.24541286
13869,immune_escape,0.2702466,0.24980563,0.2349212,0.2702466,0.24502663
13870,immune_escape,0.2678102,0.24869493,0.2384399,0.2678102,0.24505503
13871,immune_escape,0.26677397,0.24940585,0.23828423,0.26677397,0.245536
13872,immune_escape,0.2669557,0.25139722,0.23611179,0.2669557,0.24553531
13873,immune_escape,0.26810524,0.24766365,0.24025202,0.26810524,0.24397905
13874,immune_escape,0.26654163,0.24860083,0.23962648,0.26654163,0.24523105
13875,immune_escape,0.2654344,0.2502012,0.23862311,0.2654344,0.24574123
13876,immune_escape,0.26622093,0.25073582,0.23712443,0.26622093,0.24591881
13877,immune_escape,0.267049,0.24907835,0.23849702,0.267049,0.24537551
13878,immune_escape,0.2712939,0.24938004,0.23464294,0.2712939,0.24468307
13879,immune_escape,0.26457185,0.24987487,0.23967473,0.26457185,0.24587856
13880,immune_escape,0.2666263,0.24940307,0.23839933,0.2666263,0.24557133
13881,immune_escape,0.27192178,0.249201,0.23419774,0.27192178,0.24467953
13882,immune_escape,0.26844263,0.24782681,0.23962986,0.26844263,0.24410067
13883,immune_escape,0.26668692,0.24865688,0.2393054,0.26668692,0.24535081
13884,immune_escape,0.26989257,0.24816957,0.23765102,0.26989257,0.2442868
13885,immune_escape,0.26660693,0.25112677,0.23656942,0.26660693,0.24569692
13886,immune_escape,0.2667427,0.25081706,0.23668131,0.2667427,0.2457589
13887,immune_escape,0.2647205,0.24958104,0.23963252,0.2647205,0.2460659
13888,immune_escape,0.26870486,0.24783598,0.23936962,0.26870486,0.24408954
13889,immune_escape,0.26824552,0.24776477,0.23993966,0.26824552,0.24405003
13890,immune_escape,0.27145916,0.24900629,0.23481117,0.27145916,0.24472338
13891,immune_escape,0.26980272,0.24917741,0.236093,0.26980272,0.24492684
13892,immune_escape,0.26533273,0.25104553,0.23774865,0.26533273,0.24587302
