2026-04-11 00:24:34 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 3/200 — train_loss=1.7213 val_loss=12.5986 recon=1.4989 kl=2.7800 kl_weight=0.0800
2026-04-11 00:24:34 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:35 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 4/200 — train_loss=1.9024 val_loss=11.8165 recon=1.7338 kl=1.4051 kl_weight=0.1200
2026-04-11 00:24:36 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:36 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 5/200 — train_loss=1.7753 val_loss=5.7373 recon=1.6156 kl=0.9979 kl_weight=0.1600
2026-04-11 00:24:37 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:37 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 6/200 — train_loss=1.6816 val_loss=4.2413 recon=1.4948 kl=0.9343 kl_weight=0.2000
2026-04-11 00:24:38 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:39 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 7/200 — train_loss=3.0483 val_loss=3.7592 recon=1.3931 kl=6.8965 kl_weight=0.2400
2026-04-11 00:24:40 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:40 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 8/200 — train_loss=1.6619 val_loss=3.1300 recon=1.4547 kl=0.7401 kl_weight=0.2800
2026-04-11 00:24:41 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:41 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 9/200 — train_loss=1.5852 val_loss=2.7337 recon=1.3858 kl=0.6232 kl_weight=0.3200
2026-04-11 00:24:42 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:43 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 10/200 — train_loss=1.4702 val_loss=2.3318 recon=1.2623 kl=0.5775 kl_weight=0.3600
2026-04-11 00:24:43 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:44 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 11/200 — train_loss=1.4896 val_loss=2.0801 recon=1.2685 kl=0.5527 kl_weight=0.4000
2026-04-11 00:24:45 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
